,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
285,56,Cherry Chords,G,7th fret,"['C', 'Cadd9', 'C/B', 'Am7', 'A7sus4', 'Fadd9', 'Fmaj7', 'G', 'F', 'Em', 'Dm', 'A', 'Am']",96 bpm,"{'C': 14, 'Cadd9': 2, 'C/B': 9, 'Am7': 10, 'A7sus4': 1, 'Fadd9': 1, 'Fmaj7': 9, 'G': 6, 'F': 1, 'Em': 1, 'Dm': 1, 'A': 5, 'Am': 3}"
286,186,Creep Chords,G,no capo,"['G', 'B', 'C', 'Cm']",92 bpm,"{'C': 12, 'E': 11, 'F': 11, 'Fm': 13}"
287,395,Santa Tell Me Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Bm', 'D#', 'F#m']",NF,"{'C': 26, 'F': 25, 'Am': 14, 'G': 16, 'Em': 2, 'G#': 1, 'Bm': 1}"
288,402,Banana Pancakes Chords,G,no capo,"['G7', 'D7', 'Am7', 'C7', 'D', 'Bm', 'Em', 'G', 'D9', 'Em/D#', 'C']",114 bpm,"{'C7': 10, 'G7': 2, 'Dm7': 27, 'F7': 16, 'G': 3, 'Em': 2, 'Am': 2, 'C': 17, 'G9': 12, 'Am/G#': 1, 'F': 1}"
289,319,Free Bird Chords,G,no capo,"['G', 'D', 'Em', 'F', 'C', 'A#']",NF,"{'C': 14, 'G': 27, 'Am': 10, 'A#': 17, 'F': 20, 'D#': 3}"
290,232,Joy To The World Chords,G,no capo,"['G', 'D', 'C']",100 bpm,"{'C': 28, 'G': 16, 'F': 8}"
291,77,Enough For You Chords,G,no capo,"['G', 'Em', 'C']",88 bpm,"{'C': 48, 'Am': 34, 'F': 34}"
292,222,Maroon Chords,G,no capo,"['C', 'G', 'Em', 'Dsus4', 'D']",NF,"{'F': 24, 'C': 24, 'Am': 22, 'Gsus4': 1, 'G': 24}"
293,340,Silent Night Chords,G,no capo,"['G', 'D', 'D7', 'C', 'Em']",84 bpm,"{'C': 27, 'G': 12, 'G7': 7, 'F': 7, 'Am': 4}"
294,292,Just The Two Of Us Chords,G,1st fret,"['Cmaj7', 'B7', 'Em7', 'D#m7', 'G7', 'Dm7', 'A#maj7', 'A7', 'G#maj7', 'F13']",NF,"{'F#maj7': 33, 'F7': 31, 'A#m7': 29, 'Am7': 7, 'C#7': 17, 'G#m7': 14, 'Emaj7': 2, 'D#7': 2, 'Dmaj7': 2, 'B13': 2}"
