,Unnamed: 0,Song_name,Artist_name,Scale_x,BPM,Scale_y,Capo,Chords,Frquency_map_of_each_chord,bpm
144,144,Stitches,Shawn Mendes,C#,150,A#m,1st fret,"['Am', 'G', 'C', 'F']","{'Am': 30, 'G': 32, 'C': 26, 'F': 29}",150 
145,145,Stitches,Shawn Mendes,C#,150,A#m,1st fret,"['Am', 'G', 'C', 'F']","{'Am': 30, 'G': 32, 'C': 26, 'F': 29}",150 
150,150,No Se Va,Grupo Frontera,C,173,Key Not Find,no capo,"['F', 'Am', 'C', 'G']","{'F': 16, 'Am': 19, 'C': 16, 'G': 16}",NF
151,151,No Se Va,Grupo Frontera,C,173,Key Not Find,no capo,"['F', 'Am', 'C', 'G']","{'F': 16, 'Am': 19, 'C': 16, 'G': 16}",NF
152,152,Complicated,Avril Lavigne,F,78,Dm,no capo,"['Dm', 'A#', 'F', 'C', 'Gm']","{'Dm': 25, 'A#': 32, 'F': 23, 'C': 25, 'Gm': 4}",78 
153,153,Complicated,Avril Lavigne,F,78,Dm,no capo,"['Dm', 'A#', 'F', 'C', 'Gm']","{'Dm': 25, 'A#': 32, 'F': 23, 'C': 25, 'Gm': 4}",78 
166,166,I Love You,Billie Eilish,C,137,C,no capo,"['Fmaj7', 'Cadd9', 'C', 'Dm', 'G', 'Am']","{'Fmaj7': 18, 'Cadd9': 12, 'C': 6, 'Dm': 4, 'G': 4, 'Am': 3}",138 
167,167,I Love You,Billie Eilish,C,137,C,no capo,"['Fmaj7', 'Cadd9', 'C', 'Dm', 'G', 'Am']","{'Fmaj7': 18, 'Cadd9': 12, 'C': 6, 'Dm': 4, 'G': 4, 'Am': 3}",138 
172,172,Black Panther Wakanda Forever - Lift Me Up,Misc Soundtrack,A,89,A,no capo,"['A', 'Bm', 'E7', 'F#m7']","{'A': 25, 'Bm': 17, 'E7': 17, 'F#m7': 5}",NF
173,173,Black Panther Wakanda Forever - Lift Me Up,Misc Soundtrack,A,89,A,no capo,"['A', 'Bm', 'E7', 'F#m7']","{'A': 25, 'Bm': 17, 'E7': 17, 'F#m7': 5}",NF
178,178,Friday Im In Love,Oasis,C#,148,D,no capo,"['D', 'G', 'A', 'Bm', 'C']","{'D': 30, 'G': 20, 'A': 24, 'Bm': 14, 'C': 4}",136 
179,179,Friday Im In Love,Oasis,C#,148,D,no capo,"['D', 'G', 'A', 'Bm', 'C']","{'D': 30, 'G': 20, 'A': 24, 'Bm': 14, 'C': 4}",136 
180,180,Island In The Sun,The Cure,A#,136,Em,no capo,"['Em', 'Am', 'D', 'G', 'C']","{'Em': 40, 'Am': 42, 'D': 46, 'G': 44, 'C': 2}",115 
181,181,Island In The Sun,The Cure,A#,136,Em,no capo,"['Em', 'Am', 'D', 'G', 'C']","{'Em': 40, 'Am': 42, 'D': 46, 'G': 44, 'C': 2}",115 
182,182,August,Weezer,G#,92,F,3rd fret,"['D', 'G', 'Em', 'A']","{'D': 22, 'G': 20, 'Em': 20, 'A': 20}",90 
185,185,Favorite Crime,Ed Sheeran,E,103,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']","{'G': 12, 'Em': 8, 'D': 9, 'Cmaj7': 9, 'Am': 2}",90 
186,186,Favorite Crime,Ed Sheeran,E,103,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']","{'G': 12, 'Em': 8, 'D': 9, 'Cmaj7': 9, 'Am': 2}",90 
187,187,Favorite Crime,Ed Sheeran,E,103,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']","{'G': 12, 'Em': 8, 'D': 9, 'Cmaj7': 9, 'Am': 2}",90 
195,195,Riptide,Vance Joy,C#,102,A#m,1st fret,"['Am', 'G', 'C', 'Fmaj7']","{'Am': 39, 'G': 39, 'C': 40, 'Fmaj7': 2}",102 
196,196,Riptide,Vance Joy,C#,102,A#m,6th fret,"['Em', 'Dadd9', 'G', 'D', 'C']","{'Em': 39, 'Dadd9': 37, 'G': 39, 'D': 2, 'C': 2}",98 
197,197,Riptide,Vance Joy,C#,102,A#m,6th fret,"['Em', 'Dadd9', 'G', 'D', 'C']","{'Em': 39, 'Dadd9': 37, 'G': 39, 'D': 2, 'C': 2}",98 
198,198,Riptide,Vance Joy,C#,102,A#m,6th fret,"['Em', 'Dadd9', 'G', 'D', 'C']","{'Em': 39, 'Dadd9': 37, 'G': 39, 'D': 2, 'C': 2}",98 
205,205,Demons,Imagine Dragons,D#,90,D,1st fret,"['D', 'A', 'Bm', 'G']","{'D': 20, 'A': 16, 'Bm': 16, 'G': 15}",90 
206,206,Demons,Imagine Dragons,D#,90,D#,3rd fret,"['C', 'G', 'Am', 'F']","{'C': 22, 'G': 16, 'Am': 16, 'F': 16}",90 
207,207,Demons,Imagine Dragons,D#,90,D,1st fret,"['D', 'A', 'Bm', 'G']","{'D': 20, 'A': 16, 'Bm': 16, 'G': 15}",90 
208,208,Demons,Imagine Dragons,D#,90,D,1st fret,"['D', 'A', 'Bm', 'G']","{'D': 20, 'A': 16, 'Bm': 16, 'G': 15}",90 
209,209,Blinding Lights,The Weeknd,C#,171,D#,3rd fret,"['Dm', 'Am', 'C', 'G', 'F', 'Em']","{'Dm': 17, 'Am': 17, 'C': 17, 'G': 22, 'F': 7, 'Em': 7}",171 
210,210,Dont Cry,Guns N' Roses,B,125,Key Not Find,no capo,"['Am', 'Dm', 'G', 'C', 'F']","{'Am': 24, 'Dm': 12, 'G': 24, 'C': 15, 'F': 12}",NF
211,211,Dont Cry,Guns N' Roses,B,125,Key Not Find,no capo,"['Am', 'Dm', 'G', 'C', 'F']","{'Am': 24, 'Dm': 12, 'G': 24, 'C': 15, 'F': 12}",NF
212,212,Dont Cry,Guns N' Roses,B,125,Key Not Find,no capo,"['Am', 'Dm', 'G', 'C', 'F']","{'Am': 24, 'Dm': 12, 'G': 24, 'C': 15, 'F': 12}",NF
213,213,She Used To Be Mine,Sara Bareilles,F,136,F,no capo,"['F', 'C', 'Dm', 'A#', 'A7/C#', 'Dm/C']","{'F': 12, 'C': 7, 'Dm': 10, 'A#': 10, 'A7/C#': 3, 'Dm/C': 1}",130 
214,214,She Used To Be Mine,Sara Bareilles,F,136,F,no capo,"['F', 'C', 'Dm', 'A#', 'A7/C#', 'Dm/C']","{'F': 12, 'C': 7, 'Dm': 10, 'A#': 10, 'A7/C#': 3, 'Dm/C': 1}",130 
218,218,Heading South,Zach Bryan,E,110,Key Not Find,4th fret,"['Am', 'F', 'C', 'G']","{'Am': 17, 'F': 17, 'C': 17, 'G': 17}",200 
219,219,Heading South,Zach Bryan,E,110,Key Not Find,4th fret,"['Am', 'F', 'C', 'G']","{'Am': 17, 'F': 17, 'C': 17, 'G': 17}",200 
220,220,Champagne Problems,Taylor Swift,C,171,C,no capo,"['C', 'G', 'Am', 'F']","{'C': 19, 'G': 19, 'Am': 19, 'F': 19}",85 
221,221,Champagne Problems,Taylor Swift,C,171,C,no capo,"['C', 'G', 'Am', 'F']","{'C': 19, 'G': 19, 'Am': 19, 'F': 19}",85 
222,222,Yellow Submarine,Christina Aguilera,G,110,F#,no capo,"['G', 'D', 'C', 'Em', 'Am']","{'G': 37, 'D': 35, 'C': 19, 'Em': 9, 'Am': 9}",111 
223,223,Yellow Submarine,Christina Aguilera,G,110,F#,no capo,"['G', 'D', 'C', 'Em', 'Am']","{'G': 37, 'D': 35, 'C': 19, 'Em': 9, 'Am': 9}",111 
224,224,Lean On Me,The Beatles,C,75,C,no capo,"['C', 'F', 'Em', 'G9', 'G7', 'G']","{'C': 44, 'F': 14, 'Em': 7, 'G9': 1, 'G7': 11, 'G': 5}",75 
225,225,Lean On Me,The Beatles,C,75,C,no capo,"['C', 'F', 'Em', 'G9', 'G7', 'G']","{'C': 44, 'F': 14, 'Em': 7, 'G9': 1, 'G7': 11, 'G': 5}",75 
229,229,Come As You Are,Lukas Graham,A,82,Key Not Find,no capo,"['F#m', 'E', 'A', 'Bm', 'D', 'F#sus4']","{'F#m': 42, 'E': 30, 'A': 12, 'Bm': 10, 'D': 10, 'F#sus4': 1}",120 
230,230,Come As You Are,Lukas Graham,A,82,Key Not Find,no capo,"['F#m', 'E', 'A', 'Bm', 'D', 'F#sus4']","{'F#m': 42, 'E': 30, 'A': 12, 'Bm': 10, 'D': 10, 'F#sus4': 1}",120 
242,242,Bigger Than The Whole Sky,Labrinth,B,145,F#,no capo,"['F#', 'C#', 'G#m', 'B']","{'F#': 18, 'C#': 18, 'G#m': 18, 'B': 18}",NF
243,243,Bigger Than The Whole Sky,Labrinth,B,145,F#,no capo,"['F#', 'C#', 'G#m', 'B']","{'F#': 18, 'C#': 18, 'G#m': 18, 'B': 18}",NF
247,247,Be Alright,Bing Crosby,D#,104,G#m,4th fret,"['Em', 'C', 'G', 'D']","{'Em': 25, 'C': 24, 'G': 20, 'D': 28}",64 
248,248,Be Alright,Bing Crosby,D#,104,G#m,4th fret,"['Em', 'C', 'G', 'D']","{'Em': 25, 'C': 24, 'G': 20, 'D': 28}",64 
249,249,Away In A Manger,Ed Sheeran,E,123,G,no capo,"['G', 'G7', 'C', 'D', 'D7', 'Am']","{'G': 21, 'G7': 6, 'C': 9, 'D': 6, 'D7': 6, 'Am': 3}",100 
250,250,Away In A Manger,Ed Sheeran,E,123,G,no capo,"['G', 'G7', 'C', 'D', 'D7', 'Am']","{'G': 21, 'G7': 6, 'C': 9, 'D': 6, 'D7': 6, 'Am': 3}",100 
251,251,Havana,Misc Christmas,Am,123,Gm,3rd fret,"['Em', 'C', 'B7']","{'Em': 48, 'C': 44, 'B7': 46}",105 
252,252,Havana,Misc Christmas,Am,123,Gm,3rd fret,"['Em', 'C', 'B7']","{'Em': 48, 'C': 44, 'B7': 46}",105 
253,253,Havana,Misc Christmas,Am,123,Gm,3rd fret,"['Em', 'C', 'B7']","{'Em': 48, 'C': 44, 'B7': 46}",105 
254,254,Ceilings,Bruce Springsteen,E,128,Key Not Find,2nd fret,"['C', 'Em', 'G', 'D', 'B7']","{'C': 20, 'Em': 9, 'G': 10, 'D': 16, 'B7': 1}",148 
255,255,Ceilings,Bruce Springsteen,E,128,Key Not Find,2nd fret,"['Cmaj7', 'G', 'D/F#', 'B']","{'Cmaj7': 19, 'G': 16, 'D/F#': 17, 'B': 1}",145 
256,256,Ceilings,Bruce Springsteen,E,128,Key Not Find,2nd fret,"['C', 'Em', 'G', 'D', 'B7']","{'C': 20, 'Em': 9, 'G': 10, 'D': 16, 'B7': 1}",148 
257,257,Ceilings,Bruce Springsteen,E,128,Key Not Find,2nd fret,"['Cmaj7', 'G', 'D/F#', 'B']","{'Cmaj7': 19, 'G': 16, 'D/F#': 17, 'B': 1}",145 
258,258,Ceilings,Bruce Springsteen,E,128,Key Not Find,2nd fret,"['C', 'Em', 'G', 'D', 'B7']","{'C': 20, 'Em': 9, 'G': 10, 'D': 16, 'B7': 1}",148 
259,259,Ceilings,Bruce Springsteen,E,128,Key Not Find,2nd fret,"['Cmaj7', 'G', 'D/F#', 'B']","{'Cmaj7': 19, 'G': 16, 'D/F#': 17, 'B': 1}",145 
260,260,I Wont Back Down,Stevie Wonder,D#,113,G,no capo,"['Em', 'D', 'G', 'C']","{'Em': 29, 'D': 45, 'G': 49, 'C': 20}",114 
261,261,I Wont Back Down,Stevie Wonder,D#,113,G,no capo,"['Em', 'D', 'G', 'C']","{'Em': 29, 'D': 45, 'G': 49, 'C': 20}",114 
