name,author_name,scale,bpm
Golden Hour,Kate Bush,Fm,128
The Christmas Song,JVKE,A#,60
Lady May,Otis Redding,D,104
Across The Universe,Tyler Childers,B,78
Cover Me Up,The Beatles,E,139
Circles,Morgan Wallen,C,102
Beggin,Post Malone,Dm,160
Otherside,Måneskin,Gm,124
This Town,Red Hot Chili Peppers,Gm,110
The Greatest Showman - A Million Dreams,Niall Horan,G,55
My Sweet Lord,Misc Soundtrack,C#m,121
Everybody Wants To Rule The World,George Harrison,G,112
Crazy Little Thing Called Love,The Beatles,C,77
Hit The Road Jack,Queen,G#m,173
10000 Reasons Bless The Lord,Ray Charles,G,145
Funeral,Matt Redman,G,145
Count On Me,Phoebe Bridgers,G#,116
Set Fire To The Rain,Bruno Mars,Dm,128
Hey There Delilah,Adele,D,104
Take On Me,Plain White T's,A,130
Mastermind,Bo Burnham,G#m,96
Castle On The Hill,Taylor Swift,Am,135
Grenade,Ed Sheeran,Dm,98
Exit Music For A Film,Bruno Mars,Em,123
Fairytale Of New York,Radiohead,D,101
Accidentally In Love,Pogues,G,138
You Are My Sunshine,Johnny Cash,A,90
Santa Tell Me,Ariana Grande,G,96
The 30Th,Billie Eilish,G,83
Suspicious Minds,Elvis Presley,G,117
All I Ask,Adele,E,142
A Sky Full Of Stars,Coldplay,F#,75
Peaceful Easy Feeling,Eagles,E,143
Stitches,Shawn Mendes,C#,150
Numb,Linkin Park,A,110
I Dont Want To Miss A Thing,Aerosmith,D,121
Moon River,Audrey Hepburn,F,76
No Se Va,Grupo Frontera,C,173
Complicated,Avril Lavigne,F,78
Can You Feel The Love Tonight,Elton John,A#,126
Skyfall,Adele,Cm,75
Cant Take My Eyes Off You,Joseph Vincent,C#,88
All My Loving,The Beatles,C#m,78
Creep,Radiohead,G,82
Karma,Taylor Swift,G#,90
Stairway To Heaven,Led Zeppelin,G,80
Wonderwall,Oasis,D,90
Torn,Natalie Imbruglia,F,96
Summer Of 69,Bryan Adams,D,139
Proud Mary,Creedence Clearwater Revival,D,121
Bridge Over Troubled Water,Simon & Garfunkel,D#,84
Ceilings,Lizzy McAlpine,A,148
Run Away To Mars,TALK,A,119
I Love You,Billie Eilish,C,137
Save Your Tears,The Weeknd,C,118
The Perfect Pair,beabadoobee,B,146
About You,The 1975,D,96
Black Panther Wakanda Forever - Lift Me Up,Misc Soundtrack,A,89
Lemon Tree,Rihanna,C#,95
Bohemian Rhapsody,U2,F,83
Merry Christmas Everyone,Steve Lacy,Am,151
Half The World Away,Shakin' Stevens,G#,65
Friday Im In Love,Oasis,C#,148
Island In The Sun,The Cure,A#,136
August,Weezer,G#,92
Thank You,Taylor Swift,C#,96
Apocalypse,Dido,Am,83
Afterglow,Cigarettes After Sex,D#,94
Favorite Crime,Ed Sheeran,E,103
Home,Olivia Rodrigo,D,146
Snuff,Edward Sharpe and the Magnetic Zeros,F#m,124
I Walk The Line,Slipknot,A#,106
This Is The Life,Johnny Cash,C#m,94
Video Games,Lana Del Rey,F#m,73
Norwegian Wood,The Beatles,D,108
Highway To Hell,AC/DC,F#m,116
Riptide,Vance Joy,C#,102
Stay,Post Malone,F,86
Rises The Moon,liana flores,Fm,137
Beautiful Crazy,Luke Combs,B,103
Kiss Me,Sixpence None the Richer,D#,93
The Times They Are A-Changin,Bob Dylan,G,172
Demons,Imagine Dragons,D#,90
Blinding Lights,The Weeknd,C#,171
Wake Me Up When September Ends,Green Day,G,105
Basket Case,Green Day,D#,88
Frosty The Snowman,Misc Christmas,C,89
Shape Of You,Ed Sheeran,C#m,96
Dont Cry,Guns N' Roses,B,125
She Used To Be Mine,Sara Bareilles,F,136
If I Can Dream,Elvis Presley,G,94
Wind Of Change,Scorpions,C,75
Wild Horses,The Rolling Stones,G,140
Heading South,Zach Bryan,E,110
Champagne Problems,Taylor Swift,C,171
Say Something,A Great Big World,D,47
Yellow Submarine,Christina Aguilera,G,110
Lean On Me,The Beatles,C,75
Both Sides Now,Bill Withers,Em,78
7 Years,Joni Mitchell,D,142
Come As You Are,Lukas Graham,A,82
Harvest Moon,Nirvana,E,158
La La Land - City Of Stars,Neil Young,F#m,98
Mr Tambourine Man,Coldplay,D,120
Heaven,Bob Dylan,G,140
The Twilight Saga New Moon - Rosyln,Bryan Adams,A#m,160
Jealous,Misc Soundtrack,Am,93
