name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,new_scale,new_bpm,Freq_map
Landslide,Fleetwood Mac,Gm,159,D#,3rd fret,"['G', 'C', 'G/B', 'Am7', 'Am', 'D7/F#', 'D/F#', 'Em']",80 bpm,Gm,80 bpm,"{'C': 5, 'F': 29, 'C/E': 52, 'Dm7': 27, 'Dm': 3, 'G7/B': 8, 'G/B': 3, 'Am': 4}"
505,Arctic Monkeys,C,140,Em,no capo,"['Dm', 'Em']",140 bpm,C,140 bpm,"{'Dm': 34, 'Em': 34}"
Talking To The Moon,Bruno Mars,C#m,146,C,4th fret,"['C', 'E7', 'Am', 'G', 'F', 'Dm', 'G/B', 'D']",73 bpm,C#m,73 bpm,"{'C': 12, 'E7': 5, 'Am': 15, 'G': 27, 'F': 16, 'Dm': 8, 'G/B': 3, 'D': 2}"
Nothing Else Matters,d4vd,Em,142,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']",142 bpm,Em,142 bpm,"{'Am': 32, 'G': 32, 'F': 32, 'C': 7, 'E7': 7, 'D': 11}"
Easy On Me,Cat Stevens,F,142,F,5th fret,"['C', 'Am7', 'Em', 'Fmaj7', 'G', 'F', 'Dm7', 'Dm']",80 bpm,F,80 bpm,"{'C': 20, 'Am7': 14, 'Em': 14, 'Fmaj7': 17, 'G': 13, 'F': 1, 'Dm7': 2, 'Dm': 4}"
Fade Into You,Adele,D,160,A,no capo,"['A', 'E', 'Bm', 'D']",157 bpm,D,157 bpm,"{'G': 31, 'D': 31, 'Am': 31, 'C': 4}"
A Thousand Years,Dean Martin,B,100,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']",139 bpm,B,139 bpm,"{'B': 12, 'G#m7': 17, 'Eadd9': 14, 'F#': 21, 'C#m': 4}"
Cardigan,Christina Perri,C,76,D#,1st fret,"['Em', 'A', 'G', 'D', 'Bm']",65 bpm,C,65 bpm,"{'Fm': 7, 'A#': 32, 'G#': 26, 'D#': 12, 'Cm': 7}"
The A Team,Taylor Swift,A,85,A,2nd fret,"['G', 'D/F#', 'Em', 'C', 'Am']",170 bpm,A,170 bpm,"{'C': 39, 'G/B': 12, 'Am': 26, 'F': 33, 'Dm': 9}"
Heart Of Gold,Ed Sheeran,Em,91,Em,no capo,"['Em7', 'D', 'Em', 'C', 'G']",85 bpm,Em,85 bpm,"{'Am7': 6, 'G': 21, 'Am': 26, 'F': 20, 'C': 25}"
The Night We Met,Neil Young,D,174,F#m,2nd fret,"['Em', 'D', 'G', 'C']",58 bpm,D,58 bpm,"{'Em': 25, 'D': 8, 'G': 25, 'C': 17}"
I Wanna Be Yours,Taylor Swift,Cm,68,Cm,no capo,"['Cm', 'Fm', 'Gm', 'A#', 'G#']",68 bpm,Cm,68 bpm,"{'Am': 21, 'Dm': 16, 'Em': 16, 'G': 10, 'F': 10}"
Drivers License,Olivia Rodrigo,A#,144,A#,3rd fret,"['G', 'Em', 'C', 'D', 'Bm7', 'C6', 'D/F#', 'Em7']",72 bpm,A#,72 bpm,"{'C': 22, 'Am': 10, 'F': 17, 'G': 12, 'Em7': 3, 'F6': 3, 'G/B': 1, 'Am7': 1}"
Three Little Birds,Bob Marley,A,74,A,no capo,"['A', 'D', 'E']",76 bpm,A,76 bpm,"{'C': 31, 'F': 15, 'G': 6}"
