Song_Name,Artist_Name,Song_link
Ashes To Ashes (ver 4),Sia,https://tabs.ultimate-guitar.com/tab/david-bowie/ashes-to-ashes-chords-981508
Rock N Roll Suicide,David Bowie,https://tabs.ultimate-guitar.com/tab/david-bowie/rock-n-roll-suicide-chords-61256
Back For Good (ver 5),David Bowie,https://tabs.ultimate-guitar.com/tab/take-that/back-for-good-chords-445831
American Girl (ver 2),Take That,https://tabs.ultimate-guitar.com/tab/tom-petty-and-the-heartbreakers/american-girl-chords-1142372
The Heart Of Worship,Tom Petty and The Heartbreakers,https://tabs.ultimate-guitar.com/tab/matt-redman/the-heart-of-worship-chords-129829
The Way I Loved You,Matt Redman,https://tabs.ultimate-guitar.com/tab/taylor-swift/the-way-i-loved-you-chords-754779
Sunny Afternoon,Taylor Swift,https://tabs.ultimate-guitar.com/tab/the-kinks/sunny-afternoon-chords-10219
9 To 5 (ver 3),The Kinks,https://tabs.ultimate-guitar.com/tab/dolly-parton/9-to-5-chords-1451141
Down Under,Dolly Parton,https://tabs.ultimate-guitar.com/tab/men-at-work/down-under-chords-48487
Itsy Bitsy Spider,Men at Work,https://tabs.ultimate-guitar.com/tab/misc-children/itsy-bitsy-spider-chords-1685396
Pokemon Theme (ver 3),Misc Children,https://tabs.ultimate-guitar.com/tab/misc-cartoons/pokemon-theme-chords-938502
Cough Syrup (ver 3),Misc Cartoons,https://tabs.ultimate-guitar.com/tab/young-the-giant/cough-syrup-chords-1071862
True Blue,Young the Giant,https://tabs.ultimate-guitar.com/tab/billie-eilish/true-blue-chords-2309725
Juliet (ver 2),Billie Eilish,https://tabs.ultimate-guitar.com/tab/cavetown/juliet-chords-2521812
Are You Bored Yet (ver 2),cavetown,https://tabs.ultimate-guitar.com/tab/wallows/are-you-bored-yet-chords-2594667
Gratitude,Wallows,https://tabs.ultimate-guitar.com/tab/brandon-lake/gratitude-chords-3313037
Thought You Should Know,Clairo,https://tabs.ultimate-guitar.com/tab/morgan-wallen/thought-you-should-know-chords-3719846
Son Of A Sinner,Brandon Lake,https://tabs.ultimate-guitar.com/tab/jelly-roll-us-nashville-tn/son-of-a-sinner-chords-3909071
How The Grinch Stole Christmas - Youre A Mean One Mr Grinch,Morgan Wallen,https://tabs.ultimate-guitar.com/tab/misc-cartoons/how-the-grinch-stole-christmas-youre-a-mean-one-mr-grinch-chords-1800389
About Damn Time,"Jelly Roll (US, Nashville, TN)",https://tabs.ultimate-guitar.com/tab/lizzo/about-damn-time-chords-4203715
Written All Over Your Face,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/louis-tomlinson/written-all-over-your-face-chords-4419008
Georgia,Thurl Ravenscroft,https://tabs.ultimate-guitar.com/tab/vance-joy/georgia-chords-1518180
Dream A Little Dream Of Me,Lizzo,https://tabs.ultimate-guitar.com/tab/ella-fitzgerald/dream-a-little-dream-of-me-chords-1091620
Aerials (ver 2),Louis Tomlinson,https://tabs.ultimate-guitar.com/tab/system-of-a-down/aerials-chords-2132765
Supergirl (ver 2),Vance Joy,https://tabs.ultimate-guitar.com/tab/reamonn/supergirl-chords-409507
Good Good Father,Ella Fitzgerald,https://tabs.ultimate-guitar.com/tab/chris-tomlin/good-good-father-chords-1772968
Little By Little,Louis Armstrong,https://tabs.ultimate-guitar.com/tab/oasis/little-by-little-chords-27590
18,System Of A Down,https://tabs.ultimate-guitar.com/tab/one-direction/18-chords-1678182
People Help The People (ver 3),Reamonn,https://tabs.ultimate-guitar.com/tab/birdy/people-help-the-people-chords-1117486
Well Meet Again,Chris Tomlin,https://tabs.ultimate-guitar.com/tab/vera-lynn/well-meet-again-chords-794757
Come Thou Fount Of Every Blessing,Oasis,https://tabs.ultimate-guitar.com/tab/mumford-sons/come-thou-fount-of-every-blessing-chords-1016638
Come On Eileen,One Direction,https://tabs.ultimate-guitar.com/tab/dexys-midnight-runners/come-on-eileen-chords-67001
Achy Breaky Heart,Birdy,https://tabs.ultimate-guitar.com/tab/billy-ray-cyrus/achy-breaky-heart-chords-65435
If I Could Fly (ver 4),Vera Lynn,https://tabs.ultimate-guitar.com/tab/one-direction/if-i-could-fly-chords-1782491
Shine On You Crazy Diamond Part Iv (ver 2),Mumford & Sons,https://tabs.ultimate-guitar.com/tab/pink-floyd/shine-on-you-crazy-diamond-part-iv-chords-932230
The Water Fountain,Dexys Midnight Runners,https://tabs.ultimate-guitar.com/tab/alec-benjamin/the-water-fountain-chords-1865691
Dancing Queen,Billy Ray Cyrus,https://tabs.ultimate-guitar.com/tab/luka-bloom/dancing-queen-chords-1058115
Jingle Bells (ver 2),One Direction,https://tabs.ultimate-guitar.com/tab/misc-christmas/jingle-bells-chords-1061825
Rooster,Pink Floyd,https://tabs.ultimate-guitar.com/tab/alice-in-chains/rooster-chords-863637
Last Nite,Alec Benjamin,https://tabs.ultimate-guitar.com/tab/the-strokes/last-nite-chords-22480
All Of The Stars,Luka Bloom,https://tabs.ultimate-guitar.com/tab/ed-sheeran/all-of-the-stars-chords-1483219
Creep (ver 2),Misc Christmas,https://tabs.ultimate-guitar.com/tab/stone-temple-pilots/creep-chords-44309
Heartbreak Hotel,Alice in Chains,https://tabs.ultimate-guitar.com/tab/elvis-presley/heartbreak-hotel-chords-1045577
Ticket To Ride,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/ticket-to-ride-chords-17442
Youll Never Walk Alone,Gerry & The Pacemakers,https://tabs.ultimate-guitar.com/tab/gerry-the-pacemakers/youll-never-walk-alone-chords-210299
Listen To Your Heart,Roxette,https://tabs.ultimate-guitar.com/tab/roxette/listen-to-your-heart-chords-82272
Mammas Dont Let Your Babies Grow Up To Be Cowboys (ver 2),Waylon Jennings,https://tabs.ultimate-guitar.com/tab/waylon-jennings/mammas-dont-let-your-babies-grow-up-to-be-cowboys-chords-763859
Drive By,Willie Nelson,https://tabs.ultimate-guitar.com/tab/train/drive-by-chords-1124915
Better Man,Train,https://tabs.ultimate-guitar.com/tab/pearl-jam/better-man-chords-338217
The Galway Girl (ver 2),Pearl Jam,https://tabs.ultimate-guitar.com/tab/steve-earle/the-galway-girl-chords-1067904
Crocodile Rock,Steve Earle,https://tabs.ultimate-guitar.com/tab/elton-john/crocodile-rock-chords-10730
What Ive Done (ver 3),Elton John,https://tabs.ultimate-guitar.com/tab/linkin-park/what-ive-done-chords-746410
Maggie May (ver 4),Linkin Park,https://tabs.ultimate-guitar.com/tab/rod-stewart/maggie-may-chords-354424
Clay Pigeons (ver 2),Rod Stewart,https://tabs.ultimate-guitar.com/tab/john-prine/clay-pigeons-chords-1197098
Build Me Up Buttercup,John Prine,https://tabs.ultimate-guitar.com/tab/the-foundations/build-me-up-buttercup-chords-815490
Rock Salt And Nails Acoustic Live,The Foundations,https://tabs.ultimate-guitar.com/tab/tyler-childers/rock-salt-and-nails-chords-2076069
Adventure Time - Everything Stays (ver 5),Tyler Childers,https://tabs.ultimate-guitar.com/tab/misc-cartoons/adventure-time-everything-stays-chords-1786841
Winter Song (ver 3),Misc Cartoons,https://tabs.ultimate-guitar.com/tab/sara-bareilles/winter-song-chords-816648
What A Beautiful Name,Olivia Olson,https://tabs.ultimate-guitar.com/tab/hillsong-worship/what-a-beautiful-name-chords-1854156
